massimale_apertura.c3d



Time(s):	Emg_1(uV):	Emg_2(uV):	Emg_3(uV):	Emg_4(uV):	Emg_5(uV):
0.1365	24.67346	6.54602	1.91345	-5.13611	6.74744
0.137	28.70178	2.71912	1.61133	-3.92761	13.99841
0.1375	19.23523	4.22974	-5.94177	1.71204	5.63965
0.138	15.60974	-0.10071	1.40991	-1.91345	17.42249
0.1385	7.04956	-2.5177	0	2.61841	13.49487
0.139	1.40991	-4.43115	-5.63965	1.91345	18.12744
0.1395	-1.61133	1.3092	1.61133	4.12903	12.78992
0.14	-4.33044	-5.94177	-3.7262	3.32336	21.24939
0.1405	-13.39417	-12.68921	-1.91345	4.33044	26.48621
0.141	-17.92603	-15.60974	-8.7616	-1.2085	23.66638
0.1415	-21.24939	-13.99841	-4.43115	6.54602	20.44373
0.142	-24.57275	-18.8324	-0.40283	3.92761	25.27771
0.1425	-32.62939	-23.66638	-6.84814	-0.70496	26.08337
0.143	-36.75842	-21.45081	-2.11487	2.81982	22.25647
0.1435	-35.75134	-15.91187	-7.15027	5.74036	18.32886
0.144	-35.95276	-15.91187	-1.51062	2.41699	8.45947
0.1445	-41.39099	-16.41541	-7.65381	-1.10779	7.75452
0.145	-41.4917	-15.81116	-6.84814	4.02832	0.40283
0.1455	-37.66479	-12.89062	-0.90637	2.31628	-0.50354
0.146	-35.14709	-20.44373	-5.0354	2.11487	-3.12195
0.1465	-34.74426	-8.8623	-10.57434	1.40991	-4.73328
0.147	-30.51453	-14.40125	-4.12903	0.40283	-9.97009
0.1475	-26.3855	-9.06372	-0.80566	3.7262	-11.98425
0.148	-23.26355	-4.12903	-2.11487	5.63965	-14.30054
0.1485	-22.86072	-1.91345	0.20142	-3.12195	-17.01965
0.149	-1.40991	-2.71912	4.53186	-4.33044	-22.15576
0.1495	-4.33044	2.61841	1.91345	-2.21558	-25.27771
0.15	-1.51062	2.61841	-0.70496	-2.71912	-26.78833
0.1505	9.16443	4.12903	1.2085	0.10071	-23.46497
0.151	9.36584	5.74036	0.10071	2.11487	-21.14868
0.1515	9.46655	5.74036	-2.31628	0.90637	-20.84656
0.152	17.6239	3.32336	-5.0354	-2.5177	-23.26355
0.1525	25.07629	10.67505	2.71912	-0.70496	-21.24939
0.153	33.9386	11.38	-1.51062	-3.22266	-19.23523
0.1535	33.9386	15.91187	-4.93469	-5.13611	-17.52319
0.154	28.09753	17.72461	-2.81982	-4.53186	-13.09204
0.1545	33.33435	19.33594	4.93469	-6.04248	-7.15027
0.155	28.39966	14.80408	-2.41699	-6.84814	-12.38708
0.1555	27.59399	15.71045	2.31628	-3.32336	-1.40991
0.156	17.72461	12.89062	-0.40283	-2.92053	0.90637
0.1565	16.41541	13.59558	2.5177	4.12903	4.33044
0.157	16.91895	15.30762	5.23682	3.42407	4.12903
0.1575	11.88354	7.45239	-0.50354	-2.81982	10.37292
0.158	4.53186	7.75452	4.33044	5.94177	9.76868
0.1585	-0.10071	1.2085	2.92053	4.63257	13.39417
0.159	-3.8269	-3.8269	-0.80566	5.33752	19.03381
0.1595	-6.64673	-2.61841	-5.33752	2.31628	19.43665
0.16	-8.96301	-6.64673	3.92761	1.00708	19.43665
0.1605	-3.02124	-18.02673	-4.93469	1.3092	23.26355
0.161	-7.5531	-21.65222	-3.22266	4.22974	25.57983
0.1615	-14.90479	-21.85364	-13.19275	10.37292	24.27063
0.162	-20.44373	-18.32886	-7.75452	7.5531	16.51611
0.1625	-27.6947	-19.83948	-7.75452	6.3446	17.32178
0.163	-44.41223	-22.15576	-3.52478	10.67505	15.20691
0.1635	-36.75842	-21.85364	-4.63257	11.68213	8.7616
0.164	-33.83789	-21.85364	-9.16443	13.29346	5.53894
0.1645	-28.29895	-20.74585	-7.15027	17.92603	-0.30212
0.165	-38.47046	-18.12744	-7.35168	13.19275	0.50354
0.1655	-37.7655	-21.55151	-4.93469	11.78284	-1.91345
0.166	-36.85913	-17.32178	-2.5177	15.81116	-9.36584
0.1665	-30.61523	-19.73877	-3.8269	16.41541	-7.65381
0.167	-33.03223	-11.78284	5.53894	19.03381	-12.18567
0.1675	-28.9032	-11.58142	-1.81274	14.60266	-6.84814
0.168	-17.52319	-9.06372	1.81274	17.12036	-11.78284
0.1685	-15.00549	-3.22266	-6.94885	12.18567	-20.84656
0.169	-4.12903	-3.32336	-6.64673	21.24939	-21.24939
0.1695	-2.21558	-6.3446	0.10071	14.50195	-25.57983
0.17	-0.40283	1.2085	-2.31628	19.94019	-26.48621
0.1705	4.93469	3.52478	-1.71204	14.19983	-22.25647
0.171	7.75452	2.41699	0.10071	13.19275	-22.35718
0.1715	10.77576	12.18567	0.90637	18.8324	-21.95435
0.172	18.42957	16.21399	3.8269	10.27222	-19.03381
0.1725	28.19824	22.25647	4.12903	19.53735	-19.23523
0.173	24.97559	14.09912	8.05664	17.92603	-13.59558
0.1735	31.52161	12.99133	10.0708	17.52319	-15.60974
0.174	30.91736	15.50903	8.15735	20.34302	-13.29346
0.1745	30.2124	13.99841	2.81982	19.83948	-12.78992
0.175	30.91736	10.77576	-5.53894	9.16443	-4.53186
0.1755	28.60107	10.57434	-0.30212	16.11328	-1.10779
0.176	27.59399	9.66797	-0.10071	19.63806	0.10071
0.1765	28.70178	11.78284	0.40283	15.50903	3.52478
0.177	22.15576	10.87646	0.40283	14.09912	7.15027
0.1775	19.73877	8.56018	0.40283	20.24231	5.63965
0.178	9.66797	5.23682	0.40283	14.50195	10.27222
0.1785	13.59558	-2.21558	0.40283	17.52319	12.5885
