massimale_chiusura.c3d



Time(s):	Emg_1(uV):	Emg_2(uV):	Emg_3(uV):	Emg_4(uV):	Emg_5(uV):
0.1325	-7.75452	-4.43115	-6.64673	-12.68921	49.34692
0.133	-8.45947	-2.81982	-4.33044	-13.19275	43.70728
0.1335	-22.76001	-1.71204	-1.91345	-8.05664	37.7655
0.134	-23.46497	-5.63965	0.80566	-6.3446	28.70178
0.1345	-28.70178	-8.35876	0	-6.14319	19.13452
0.135	-38.36975	-4.33044	4.63257	3.22266	18.8324
0.1355	-48.03772	-13.797	1.00708	4.73328	19.63806
0.136	-49.44763	-23.56567	0.50354	14.70337	2.92053
0.1365	-53.27454	-14.30054	6.54602	15.30762	-0.10071
0.137	-56.09436	-19.83948	-1.71204	18.42957	-12.18567
0.1375	-52.06604	-16.21399	-6.04248	21.85364	-15.20691
0.138	-50.45471	-22.05505	-3.7262	26.58691	-26.08337
0.1385	-44.61365	-14.30054	-2.01416	23.66638	-36.65771
0.139	-45.52002	-13.29346	-4.53186	25.88196	-36.85913
0.1395	-42.39807	-16.11328	-3.02124	29.00391	-45.72144
0.14	-39.57825	-14.19983	-5.84106	30.61523	-42.8009
0.1405	-36.25488	-11.68213	-5.53894	22.55859	-49.0448
0.141	-26.68762	-7.5531	-4.83398	24.27063	-46.02356
0.1415	-19.94019	-7.35168	-0.20142	18.42957	-51.26038
0.142	-9.97009	-4.33044	-8.66089	14.90479	-52.26746
0.1425	1.40991	-4.73328	0.30212	11.48071	-48.33984
0.143	7.25098	-1.40991	2.11487	15.00549	-53.27454
0.1435	17.52319	7.35168	2.01416	7.75452	-45.2179
0.144	16.3147	7.5531	-1.3092	3.12195	-35.14709
0.1445	25.07629	6.44531	-0.20142	-0.10071	-29.30603
0.145	33.53577	4.33044	-2.61841	-1.00708	-20.34302
0.1455	42.29736	7.04956	-2.5177	-5.84106	-16.01257
0.146	49.34692	16.61682	-5.94177	-12.89062	-5.63965
0.1465	45.3186	7.45239	8.35876	-14.40125	0.50354
0.147	45.2179	18.12744	-3.8269	-17.72461	14.19983
0.1475	44.21082	15.20691	0.60425	-20.1416	19.94019
0.148	41.59241	13.69629	1.81274	-22.45789	23.26355
0.1485	45.01648	20.74585	-2.5177	-25.98267	30.11169
0.149	41.69312	11.98425	5.33752	-27.39258	30.91736
0.1495	45.2179	16.21399	0.80566	-23.36426	37.36267
0.15	30.71594	8.7616	4.12903	-25.07629	39.88037
0.1505	30.41382	-0.60425	4.22974	-20.44373	51.5625
0.151	24.47205	7.75452	8.7616	-29.00391	49.44763
0.1515	8.15735	-3.02124	-1.10779	-19.33594	54.78516
0.152	0.30212	1.10779	-0.20142	-15.00549	47.43347
0.1525	-7.35168	-0.50354	-3.42407	-8.7616	41.18958
0.153	-10.97717	-4.12903	1.3092	-11.78284	44.41223
0.1535	-23.46497	-5.33752	-1.91345	-7.35168	45.3186
0.154	-22.25647	-11.78284	-3.92761	-2.21558	36.15417
0.1545	-28.70178	-12.5885	-1.71204	0.10071	28.80249
0.155	-41.39099	-15.20691	-2.11487	3.22266	18.63098
0.1555	-48.84338	-20.54443	-4.33044	11.98425	15.40833
0.156	-49.24622	-16.21399	-5.53894	16.61682	8.96301
0.1565	-55.99365	-22.25647	-2.61841	14.19983	-0.70496
0.157	-59.21631	-15.40833	-2.01416	25.98267	-10.67505
0.1575	-54.48303	-15.91187	-1.91345	23.66638	-18.02673
0.158	-53.77808	-13.19275	-4.53186	24.37134	-26.08337
0.1585	-56.29578	-13.19275	-1.61133	27.09045	-27.6947
0.159	-48.64197	-12.48779	-0.10071	23.46497	-36.55701
0.1595	-47.03064	-9.56726	-4.33044	21.04797	-40.38391
0.16	-44.71436	-10.77576	-3.52478	23.06213	-49.24622
0.1605	-31.32019	-13.797	-4.73328	26.68762	-51.66321
